ID,#knockouts (pFBA),R_biomass_SC5_notrace (pFBA),R_EX_mal_L_e_ (pFBA),R_EX_glc_e_ (pFBA),BPCY (pFBA),CYIELD (pFBA),FVA~min~R_EX_mal_L_e_ (pFBA),FVA~max~R_EX_mal_L_e_ (pFBA),SOLUTION
sol_46#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],8.0,0.052503919298589705,0.7103811546484019,-1.15,0.03243286505643363,0.4118151621150156,0.0,0.7112891350407153,YKL029C YLR027C YKL085W YER081W YIL074C YOL126C YFL030W YNL241C 
sol_47#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],9.0,0.03322751932571045,0.8936911885473634,-1.15,0.025821861946673616,0.5180818484332542,0.0,0.8940076701110229,YKL029C YLR027C YDR050C YKL085W YER081W YIL074C YOL126C YFL030W YNL241C 
sol_48#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],11.0,0.05130103132513904,0.6793177566493789,-1.15,0.030304088272689537,0.39380739515906027,0.0,0.679608432459645,YKL218C YKL029C YLR027C YKL085W YHR208W YJL121C YER081W YCL064C YIL074C YOL126C YFL030W 
sol_49#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],7.0,0.06149993983333265,0.7711571720535436,-1.15,0.04124010407246599,0.4470476359730688,0.0,0.7714469339698553,YKL029C YKL085W YFR055W YNL277W YOL126C YFL030W YNL241C 
sol_50#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],10.0,0.07078363917469961,0.5426107220439638,-1.15,0.03339822744476796,0.3145569403153413,0.0,0.5427935601910576,YLR134W YKL029C YBR196C YGR087C YKL085W YFR055W YNL277W YLR044C YOL126C YFL030W 
sol_51#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],7.0,0.060731819435350984,0.7728063607360435,-1.15,0.04081211857279314,0.44800368738321367,0.0,0.7730960964690894,YKL029C YKL085W YER178W YDR035W YOL126C YFL030W YNL241C 
sol_52#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],7.0,0.06073181947875032,0.7728063797968763,-1.15,0.04081211960856561,0.4480036984329718,0.0,0.7730960953049362,YKL029C YKL085W YGR193C YDR035W YOL126C YFL030W YNL241C 
sol_53#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],7.0,0.059013977735950116,0.022165059897847957,-1.149990037993032,0.001137443202212788,0.01284942139529633,0.0,0.02268283860757947,YKL029C YKL085W YDR035W YFL018C YOL126C YFL030W YNL241C 
sol_54#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],7.0,0.06073181945616899,0.7728063698790436,-1.15,0.04081211906962733,0.4480036926835036,0.0,0.7730960969347507,YKL029C YKL085W YDR035W YOL126C YNL071W YFL030W YNL241C 
sol_55#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],7.0,0.06073181949928752,0.7728063888166579,-1.15,0.04081212009870389,0.4480037036618307,0.0,0.7730960958870128,YKL029C YKL085W YDR035W YOL126C YFL030W YNL241C YBR221C 
sol_56#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],6.0,0.06178981576239891,0.7662400709769417,-1.15,0.04117028940472408,0.44419714259532855,0.0,0.7665298620704561,YKL029C YKL085W YNL277W YOL126C YFL030W YNL241C 
sol_57#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],7.0,0.058974633418474164,0.800515031186461,-1.15,0.041052243921913,0.4640666847457745,0.0,0.8008058056002483,YKL029C YKL085W YER081W YIL074C YOL126C YFL030W YNL241C 
sol_58#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],7.0,0.08625061892490465,0.04563520247316632,-1.15,0.0034226647461512473,0.026455189839516707,0.0,0.04569398215971887,YKL029C YLR027C YKL085W YFR055W YLR303W YDR035W YOL126C 
sol_59#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],7.0,0.08947400998191908,0.04321320802197374,-1.15,0.003362138266007673,0.02505113508520217,0.0,0.04374777420889586,YKL029C YKL085W YFR055W YLR303W YER081W YIL074C YOL126C 
sol_60#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],8.0,0.08380820525436235,0.04434292140008639,-1.15,0.0032315657898056497,0.02570604139135443,0.0,0.04439866868779063,YKL029C YLR027C YKL085W YHR208W YFR055W YNL277W YOL126C YDR403W 
sol_61#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],7.0,0.08291709890614767,0.12954055445008872,-1.15,0.00934011040495236,0.07509597359425434,0.0,0.12959870509803295,YKL029C YLR027C YKL085W YER081W YDR035W YIL074C YOL126C 
sol_62#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],9.0,0.07230396291400534,0.11295975822092036,-1.1499892986137663,0.007102186236885618,0.06548452717898369,0.0,0.11298794706817716,YKL029C YLR027C YKL085W YAL038W YER081W YDR035W YIL074C YOL126C YOR347C 
sol_63#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],6.0,0.0822153614387366,0.03516351008734495,-1.15,0.0025138962532919354,0.020384643528895626,0.0,0.035206324653699994,YKL029C YLR027C YKL085W YHR208W YDR035W YOL126C 
sol_64#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],14.0,0.042087467797542875,0.8356885759525436,-1.15,0.03058436176450187,0.4844571454797355,0.0,0.8358641074737534,YKL029C YLR134W YGR087C YNL277W YLR044C YDL022W YNL241C YLR027C YKL085W YER081W YMR250W YIL074C YOL126C YLR174W 
sol_65#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],9.0,0.07872114267280832,0.13096757785332824,-1.15,0.008965145549307812,0.0759232335381613,0.0,0.13100929837673903,YKL029C YLR027C YKL085W YHR208W YNL277W YDR300C YER081W YIL074C YOL126C 
sol_66#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],8.0,0.07910435942757614,0.12358394969011254,-1.15,0.008500894935448826,0.07164286938557249,0.0,0.12362576101440936,YKL029C YLR027C YKL085W YHR208W YDR300C YER081W YIL074C YOL126C 
sol_67#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],7.0,0.08858914896067413,0.03788957901047936,-1.15,0.0029187874426231204,0.021964973339408327,0.0,0.0379486441379413,YKL029C YDR402C YLR027C YKL085W YNL277W YKR080W YOL126C 
