ID,#knockouts (pFBA),R_biomass_SC5_notrace (pFBA),R_EX_fum_e_ (pFBA),R_EX_glc_e_ (pFBA),BPCY (pFBA),CYIELD (pFBA),FVA~min~R_EX_fum_e_ (pFBA),FVA~max~R_EX_fum_e_ (pFBA),SOLUTION
sol_29#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],8.0,0.07563455626082255,0.533921618174354,-1.15,0.0351155866684153,0.30951977865179947,0.5337657734633497,0.5339571836151418,YKL029C YBR196C YLR438W YNL277W YDR148C YER081W YIL074C YPL262W 
sol_30#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.07581209492316462,0.5310035505869141,-1.15,0.03500564485359355,0.3078281452677763,0.5308475607498453,0.5310391775431011,YKL029C YBR196C YLR438W YDR148C YER081W YIL074C YPL262W 
sol_31#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],6.0,0.07583835862120591,0.5307835991210396,-1.15,0.035003266904692,0.30770063717161716,0.5306997538546036,0.5308910958144009,YKL029C YBR196C YDR148C YER081W YIL074C YPL262W 
sol_32#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],5.0,0.07708567922801807,0.5017879294471514,-1.15,0.033635359452047375,0.2908915533026965,0.5017043632055881,0.5018958466412726,YKL029C YBR196C YDR148C YLR142W YPL262W 
sol_33#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],6.0,0.07698746983713993,0.5024415090718325,-1.15,0.033636261325734586,0.29127044004164204,0.5022858106047587,0.5024774199616082,YKL029C YBR196C YLR438W YLR303W YDR148C YPL262W 
sol_34#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.07691298167597133,0.5028826008982391,-1.15,0.03363321762439223,0.29152614544825456,0.5027269680848493,0.5029184951990486,YKL029C YBR196C YLR438W YPL061W YNL277W YDR148C YPL262W 
sol_35#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],5.0,0.07705854692310875,0.5020206163934003,-1.15,0.03363911236932071,0.2910264442860292,0.5018650379206392,0.5020565112940959,YKL029C YBR196C YLR438W YDR148C YPL262W 
sol_36#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],4.0,0.07708567772923466,0.5017877981068106,-1.15,0.03363534999419467,0.2908914771633685,0.5017042247147794,0.501895883452857,YKL029C YBR196C YDR148C YPL262W 
sol_37#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],8.0,0.07581872698527867,0.5308941090773841,-1.15,0.035001491751505166,0.3077647009144256,0.5308102494840191,0.5310017837719508,YKL029C YBR196C YHR208W YDR300C YER081W YIL074C YPL262W YIL125W 
sol_38#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.0767251700284268,0.503922875926385,-1.15,0.03362049420579627,0.2921292034355855,0.503839300107956,0.5040306015405199,YKL029C YBR196C YHR208W YNL104C YDR300C YPL262W YIL125W 
sol_39#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.06363720527040688,0.0634832032336449,-1.15,0.003512950987306451,0.03680185694704052,0.06334359151466656,0.5337725856706808,YKL029C YBR196C YER081W YIL074C YLR142W YFL018C YPL262W 
sol_40#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.06363720839918577,0.06348320635485638,-1.15,0.003512951332741313,0.03680185875643848,0.06334394841751667,0.5337725094073319,YKL029C YBR196C YLR438W YER081W YIL074C YFL018C YPL262W 
sol_41#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],8.0,0.07564115518899468,0.5338124770993734,-1.15,0.035111471671387284,0.3094565084634049,0.5337285798751612,0.533920181649253,YKL029C YBR196C YHR208W YLR303W YER081W YIL074C YGR244C YPL262W 
sol_42#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.07583836075835916,0.5307837903000252,-1.15,0.03500328049866311,0.3077007480000146,0.5306999720248116,0.530891038707948,YKL029C YBR196C YER081W YIL074C YLR142W YGR244C YPL262W 
sol_43#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],8.0,0.07563455729817241,0.5339216123534243,-1.15,0.035115586767197976,0.3095197752773474,0.5337658785918832,0.533957156495651,YKL029C YBR196C YLR438W YLR303W YER081W YIL074C YGR244C YPL262W 
sol_44#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.07581872262076057,0.5308937185422127,-1.15,0.0350014639889184,0.3077644745172248,0.530809832400438,0.5310018963175677,YKL029C YBR196C YHR208W YER081W YIL074C YPL262W YIL125W 
sol_45#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],8.0,0.07564115518899468,0.5338124770993208,-1.15,0.03511147167138382,0.3094565084633744,0.5337285706783508,0.5339201876423875,YKL029C YBR196C YHR208W YOR142W YLR303W YER081W YIL074C YPL262W 
sol_46#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.07583836075835916,0.5307837903000252,-1.15,0.03500328049866311,0.3077007480000146,0.5306999931796259,0.530891038707948,YKL029C YBR196C YER081W YIL074C YLR142W YPL262W YIL125W 
sol_47#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],8.0,0.07563455729817241,0.5339216123534243,-1.15,0.035115586767197976,0.3095197752773474,0.533765882106653,0.533957156495651,YKL029C YBR196C YLR438W YNL277W YER081W YIL074C YPL262W YIL125W 
